source,target
1,2
1,1
1,0
1,21
1,3
1,38
1,50
1,367
1,168
1,16
1,589
1,135
1,138
1,99
1,302
1,377
1,1141
1,374
1,361
1,90
1,47
1,27
1,3224
1,3365
1,3405
1,298
1,2160
1,1596
1,1106
1,285
1,1902
1,4183
1,1575
1,1262
1,5175
1,817
1,3227
1,85
1,6194
1,634
1,83
1,6594
1,224
1,1058
1,574
1,76
1,558
1,4594
1,7933
1,1336
1,8261
1,1629
1,283
1,592
1,8827
1,6697
1,8277
1,9629
1,221
1,1273
1,292
1,3565
1,97
1,1144
1,64
1,1941
1,315
1,218
1,2285
1,2072
1,317
1,149
1,206
1,1098
1,9417
1,7126
1,947
1,3822
1,294
1,726
1,9210
1,6320
1,5403
1,6873
1,492
1,1535
1,1899
1,7633
1,1584
1,8130
1,235
1,117
1,276
1,7341
1,1012
1,7879
1,7733
1,7683
1,1954
1,142
1,326
1,682
1,1057
1,1258
1,711
1,6630
1,422
1,2318
1,360
1,1649
1,753
1,91
1,5546
1,6330
1,67
1,787
1,5277
1,8490
1,4703
1,6469
1,2338
1,2356
1,7037
1,2516
1,7149
1,1142
1,8214
1,4738
1,9130
1,4126
1,2574
1,1775
1,3376
1,600
1,8676
1,8733
1,6117
1,30
1,5490
1,1494
1,1798
1,5060
1,2760
1,2921
1,456
1,3539
1,3717
1,930
1,4275
1,4080
1,5829
1,4511
1,1206
1,948
1,8209
1,5704
1,6231
1,4155
1,937
1,2605
1,1169
1,8113
1,656
1,566
1,7521
1,4274
1,7086
1,624
1,9963
1,6434
1,3368
1,8161
1,9096
1,7500
1,229
1,1120
1,5844
1,6508
1,759
1,2296
1,4780
1,2584
1,1198
1,2426
1,2153
1,8134
1,5729
1,6441
1,4987
1,2915
1,270
1,754
1,4018
1,2035
1,6522
1,5922
1,33
1,80
1,7616
1,4460
1,8265
1,184
1,62
1,2094
1,2756
1,8336
1,2831
1,635
1,9673
1,5202
1,3103
1,467
1,3927
1,644
1,9532
1,513
1,617
1,3654
1,9719
1,584
1,2597
1,2581
1,77
1,3572
1,3005
1,973
1,2704
1,3291
1,3175
1,1070
1,2248
1,9162
1,495
1,2563
1,5769
1,5558
1,8367
1,7240
1,7823
1,3340
1,4853
1,7376
1,5887
1,7946
1,5279
1,7337
1,3195
1,1367
1,9064
1,6037
1,7099
1,4627
