source,target
1,2
1,3
1,8
1,49
1,45
1,67
1,242
1,23
1,78
1,118
1,97
1,81
1,125
1,595
1,149
1,275
1,1016
1,106
1,116
1,909
1,296
1,91
1,70
1,1735
1,2084
1,1429
1,441
1,2521
1,1963
1,2770
1,117
1,124
1,3403
1,196
1,3563
1,2386
1,2729
1,2033
1,3117
1,203
1,146
1,1017
1,656
1,239
1,884
1,1894
1,810
1,2221
1,658
1,1559
1,4140
1,1059
1,990
1,4806
1,2412
1,4857
1,197
1,1785
1,145
1,3464
1,507
1,453
1,642
1,3580
1,361
1,483
1,639
1,3097
1,167
1,283
1,2196
1,982
2,3
2,8
2,1
2,78
2,67
2,117
2,49
2,45
2,167
2,125
2,198
2,23
2,91
2,81
2,275
2,70
2,146
2,554
2,283
2,390
2,525
2,441
2,197
2,118
2,940
2,979
2,242
2,1003
2,1202
2,595
2,1274
2,124
2,692
2,479
2,97
2,116
2,506
2,719
2,2078
2,592
2,1016
2,2033
2,2386
2,1059
2,196
2,1605
2,824
2,149
2,3038
2,296
2,2066
2,409
2,3846
2,483
2,580
2,1109
2,4728
2,3706
2,3728
2,909
2,204
2,238
2,1010
2,646
2,3933
2,870
2,507
2,1764
2,1994
2,633
2,2411
2,510
2,2067
2,1192
2,4411
2,2521
2,132
2,165
2,2944
2,3012
2,106
2,4496
2,658
2,1424
2,2215
2,1124
2,453
2,1559
2,617
2,4314
2,4562
2,728
2,4742
2,2260
2,90
2,2262
2,297
2,327
2,3144
2,664
2,239
2,359
2,1514
2,1995
2,650
2,888
2,590
2,128
2,1068
2,4182
2,1390
2,639
2,240
2,203
2,1366
2,4025
2,4012
2,4608
2,4237
2,1254
2,4624
2,863
2,4821
2,4965
3,1
3,2
3,8
3,67
3,78
3,23
3,49
3,45
3,362
3,453
3,124
3,618
3,146
3,81
3,692
3,658
3,125
3,719
3,1198
3,483
3,97
3,595
3,91
3,1204
3,296
3,70
3,283
3,242
3,507
3,239
3,196
3,2114
3,580
3,442
3,116
3,3039
3,118
3,710
3,117
3,149
3,510
3,275
3,4927
3,456
3,477
3,2522
3,990
3,975
3,1894
3,824
3,1180
3,1563
3,2142
3,2578
3,106
3,2856
3,2909
3,554
3,1017
3,441
3,639
3,3959
3,1148
3,1016
3,955
3,390
3,1071
3,909
3,1599
3,137
3,617
3,1124
3,3206
3,1917
3,1798
3,132
3,728
3,506
3,1943
3,3564
3,1796
3,3717
3,4797
8,3
8,2
8,1
8,23
8,49
8,45
8,70
8,67
8,116
8,125
8,128
8,275
8,81
8,546
8,552
8,91
8,572
8,240
8,639
8,242
8,656
8,197
8,728
8,745
8,78
8,362
8,296
8,1010
8,483
8,97
8,1109
8,1202
8,1240
8,595
8,617
8,198
8,719
8,239
8,648
8,896
8,590
8,118
8,124
8,146
8,117
8,2155
8,658
8,539
8,149
8,873
8,1945
8,943
8,361
8,283
8,2234
8,1894
8,3583
8,3809
8,525
8,106
8,510
8,196
8,4232
8,1124
8,4561
8,1016
8,3113
8,1204
8,1254
8,3415
8,668
8,909
8,580
8,203
8,512
8,1017
8,930
8,1005
8,1125
8,1554
8,4056
8,1366
8,506
8,443
8,2024
8,4691
8,2752
8,390
8,441
8,824
8,4127
8,4327
8,132
8,2137
8,3840
8,1905
8,863
8,2834
8,3699
8,3552
8,169
8,418
8,4349
8,1643
8,327
8,4423
8,592
8,1812
8,1120
8,1930
8,507
8,2540
8,4338
8,4493
8,47
8,1510
8,1399
8,4869
